time="2021-11-25 13:00:24.546" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:24.764" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:24.766" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:25.083" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:25.084" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:25.358" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:25.359" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:25.573" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:25.574" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:25.901" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:25.902" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:26.117" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:26.118" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:26.414" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:26.415" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:26.632" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:26.633" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:26.926" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:26.927" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:27.232" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:27.233" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:27.541" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:27.542" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:27.848" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:27.849" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:28.064" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:28.064" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:28.360" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:28.361" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:28.665" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:28.666" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:28.973" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:28.973" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:29.188" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:29.189" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:29.488" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:29.489" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:02:19.136" level=info msg="max deal id last scanned:0" func=GetDealFromCalibration file="deal.go:27"
time="2021-11-25 13:02:19.137" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal" func=GetDealFromCalibration file="deal.go:29"
time="2021-11-25 13:02:20.387" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:20.691" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:21.002" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:21.305" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:21.613" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:21.920" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:22.229" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:22.535" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:22.842" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:23.149" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:23.456" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:23.763" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:24.070" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:24.377" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:24.612" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
